section,metric,value,source_word,mutation_pool_size,mutations_selected,valid_contexts,unmatched_contexts,mutation,transformation,augmentation_level,sentence_variants_generated,count,percentage,category,original_count,augmented_count,total_count,text,reason,original_word,mutated_word,original_sentence,augmented_sentence
dataset,total_rows,6249,,,,,,,,,,,,,,,,,,,,,
dataset,unique_source_words,150,,,,,,,,,,,,,,,,,,,,,
dataset,pct_rows_source_word_in_text,92.53,,,,,,,,,,,,,,,,,,,,,
dataset,source_word_freq_mean,41.66,,,,,,,,,,,,,,,,,,,,,
source_word_selection,random_seed,42,,,,,,,,,,,,,,,,,,,,,
source_word_selection,total_unique_source_words,150,,,,,,,,,,,,,,,,,,,,,
source_word_selection,selected_source_words,barenaked|anilingus|busty|brown showers|bondage|beaners|bareback|felch|ball sack|dick|apeshit|anus|ball sucking|blumpkin|boob|eat my ass|femdom|blonde on blonde action|dendrophilia|bollocks,,,,,,,,,,,,,,,,,,,,,
mutation_statistics,,,barenaked,30.0,8.0,42.0,0.0,,,,,,,,,,,,,,,,
mutation_statistics,,,anilingus,30.0,8.0,36.0,6.0,,,,,,,,,,,,,,,,
mutation_statistics,,,busty,30.0,8.0,42.0,0.0,,,,,,,,,,,,,,,,
mutation_statistics,,,brown showers,30.0,8.0,21.0,15.0,,,,,,,,,,,,,,,,
mutation_statistics,,,bondage,30.0,8.0,42.0,0.0,,,,,,,,,,,,,,,,
mutation_statistics,,,beaners,30.0,8.0,31.0,6.0,,,,,,,,,,,,,,,,
mutation_statistics,,,bareback,30.0,8.0,42.0,0.0,,,,,,,,,,,,,,,,
mutation_statistics,,,felch,30.0,8.0,39.0,3.0,,,,,,,,,,,,,,,,
mutation_statistics,,,ball sack,30.0,8.0,42.0,0.0,,,,,,,,,,,,,,,,
mutation_statistics,,,dick,30.0,8.0,42.0,0.0,,,,,,,,,,,,,,,,
mutation_statistics,,,apeshit,30.0,8.0,36.0,6.0,,,,,,,,,,,,,,,,
mutation_statistics,,,anus,30.0,8.0,40.0,2.0,,,,,,,,,,,,,,,,
mutation_statistics,,,ball sucking,30.0,8.0,27.0,15.0,,,,,,,,,,,,,,,,
mutation_statistics,,,blumpkin,30.0,8.0,42.0,0.0,,,,,,,,,,,,,,,,
mutation_statistics,,,boob,30.0,8.0,41.0,1.0,,,,,,,,,,,,,,,,
mutation_statistics,,,eat my ass,30.0,8.0,41.0,1.0,,,,,,,,,,,,,,,,
mutation_statistics,,,femdom,30.0,8.0,42.0,0.0,,,,,,,,,,,,,,,,
mutation_statistics,,,blonde on blonde action,30.0,8.0,40.0,2.0,,,,,,,,,,,,,,,,
mutation_statistics,,,dendrophilia,30.0,8.0,32.0,10.0,,,,,,,,,,,,,,,,
mutation_statistics,,,bollocks,30.0,8.0,40.0,2.0,,,,,,,,,,,,,,,,
sentence_statistics,,,barenaked,,,,,baenake,deletion,moderate,3.0,,,,,,,,,,,,
sentence_statistics,,,barenaked,,,,,baresnaked,insertion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,barenaked,,,,,barenаked,mixed_script,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,barenaked,,,,,baren4ked,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,barenaked,,,,,barenak3d,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,barenaked,,,,,barenaaked,repetition,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,barenaked,,,,,b4renaked,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,barenaked,,,,,8arenaked,leetspeak,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,anilingus,,,,,anlingus,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,anilingus,,,,,aniliyngups,insertion,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,anilingus,,,,,znilkngux,keyboard_noise,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,anilingus,,,,,4n1xlingus,leetspeak+insertion,heavy,3.0,,,,,,,,,,,,
sentence_statistics,,,anilingus,,,,,anil1ngus,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,anilingus,,,,,anilinhus,keyboard_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,anilingus,,,,,anilgs,deletion,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,anilingus,,,,,anilngus,deletion,mild,2.0,,,,,,,,,,,,
sentence_statistics,,,busty,,,,,bѕty,deletion+mixed_script,heavy,3.0,,,,,,,,,,,,
sentence_statistics,,,busty,,,,,buty,deletion,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,busty,,,,,bust_y,spacing_noise,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,busty,,,,,bu. sty,spacing_noise,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,busty,,,,,8us7y,leetspeak,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,busty,,,,,bu5ty,leetspeak,mild,3.0,,,,,,,,,,,,
sentence_statistics,,,busty,,,,,busyt,keyboard_noise,moderate,2.0,,,,,,,,,,,,
sentence_statistics,,,busty,,,,,busztys,insertion,moderate,2.0,,,,,,,,,,,,
