section,metric,value,source_word,mutation_pool_size,mutations_selected,valid_contexts,unmatched_contexts,mutation,transformation,augmentation_level,sentence_variants_generated,count,percentage,category,original_count,augmented_count,total_count,text,reason,requested,available,original_word,mutated_word,original_sentence,augmented_sentence
dataset,total_rows,11744,,,,,,,,,,,,,,,,,,,,,,,
dataset,unique_source_words,87,,,,,,,,,,,,,,,,,,,,,,,
dataset,pct_rows_source_word_in_text,57.41,,,,,,,,,,,,,,,,,,,,,,,
dataset,source_word_freq_mean,134.99,,,,,,,,,,,,,,,,,,,,,,,
source_word_selection,random_seed,42,,,,,,,,,,,,,,,,,,,,,,,
source_word_selection,total_unique_source_words,87,,,,,,,,,,,,,,,,,,,,,,,
source_word_selection,selected_source_words,uniform|comment section|backpack|house|haircut|group project|dancing|clothes|weight|singing|class clown|sports jersey|phone|bike|group chat|gym class|science fair|stutter|sleepover|generic sneakers,,,,,,,,,,,,,,,,,,,,,,,
mutation_statistics,,,uniform,30.0,8.0,127.0,8.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,comment section,30.0,8.0,69.0,71.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,backpack,30.0,8.0,140.0,1.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,house,30.0,8.0,102.0,31.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,haircut,30.0,8.0,124.0,23.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,group project,30.0,8.0,76.0,48.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,dancing,30.0,8.0,72.0,67.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,clothes,30.0,8.0,41.0,104.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,weight,30.0,8.0,86.0,60.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,singing,30.0,8.0,88.0,57.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,class clown,30.0,8.0,0.0,30.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,sports jersey,30.0,8.0,95.0,45.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,phone,30.0,8.0,122.0,22.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,bike,30.0,8.0,130.0,15.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,group chat,30.0,8.0,113.0,28.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,gym class,30.0,8.0,0.0,41.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,science fair,30.0,8.0,124.0,14.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,stutter,30.0,8.0,111.0,13.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,sleepover,30.0,8.0,131.0,14.0,,,,,,,,,,,,,,,,,,
mutation_statistics,,,generic sneakers,30.0,8.0,41.0,100.0,,,,,,,,,,,,,,,,,,
sentence_statistics,,,uniform,,,,,un1form,leetspeak,mild,3.0,,,,,,,,,,,,,,
sentence_statistics,,,uniform,,,,,unmifоrm,insertion+mixed_script,heavy,2.0,,,,,,,,,,,,,,
sentence_statistics,,,uniform,,,,,urnifusorm,insertion,moderate,2.0,,,,,,,,,,,,,,
sentence_statistics,,,uniform,,,,,unifo_rm,spacing_noise,mild,2.0,,,,,,,,,,,,,,
sentence_statistics,,,uniform,,,,,un_iform,spacing_noise,mild,3.0,,,,,,,,,,,,,,
sentence_statistics,,,uniform,,,,,unifgorm,insertion,mild,2.0,,,,,,,,,,,,,,
sentence_statistics,,,uniform,,,,,uniiform,repetition,mild,2.0,,,,,,,,,,,,,,
sentence_statistics,,,uniform,,,,,unifoorm,repetition,mild,2.0,,,,,,,,,,,,,,
sentence_statistics,,,comment section,,,,,c-omment section,spacing_noise,mild,2.0,,,,,,,,,,,,,,
sentence_statistics,,,comment section,,,,,commen7 secti0n,leetspeak,moderate,2.0,,,,,,,,,,,,,,
sentence_statistics,,,comment section,,,,,commejt section,keyboard_noise,mild,3.0,,,,,,,,,,,,,,
sentence_statistics,,,comment section,,,,,commetnt section,insertion,mild,3.0,,,,,,,,,,,,,,
sentence_statistics,,,comment section,,,,,dommenr section,keyboard_noise,moderate,3.0,,,,,,,,,,,,,,
sentence_statistics,,,comment section,,,,,comment sectіon,mixed_script,mild,2.0,,,,,,,,,,,,,,
sentence_statistics,,,comment section,,,,,comm3nt s3ct1on,leetspeak,moderate,2.0,,,,,,,,,,,,,,
sentence_statistics,,,comment section,,,,,cyomment emsection,insertion,moderate,3.0,,,,,,,,,,,,,,
sentence_statistics,,,backpack,,,,,bacak,deletion,moderate,3.0,,,,,,,,,,,,,,
sentence_statistics,,,backpack,,,,,bacikpack,insertion,mild,3.0,,,,,,,,,,,,,,
sentence_statistics,,,backpack,,,,,8acp4ck,leetspeak+deletion,heavy,2.0,,,,,,,,,,,,,,
sentence_statistics,,,backpack,,,,,bacpack,deletion,mild,3.0,,,,,,,,,,,,,,
sentence_statistics,,,backpack,,,,,back_.pack,spacing_noise,moderate,2.0,,,,,,,,,,,,,,
sentence_statistics,,,backpack,,,,,backp4ck,leetspeak,mild,3.0,,,,,,,,,,,,,,
sentence_statistics,,,backpack,,,,,84ckp4ck,leetspeak,moderate,2.0,,,,,,,,,,,,,,
sentence_statistics,,,backpack,,,,,backpaсk,mixed_script,mild,2.0,,,,,,,,,,,,,,
sentence_statistics,,,house,,,,,h0use,leetspeak,mild,3.0,,,,,,,,,,,,,,
sentence_statistics,,,house,,,,,ohue,keyboard_noise+deletion,heavy,2.0,,,,,,,,,,,,,,
